name	Genome	NCBI_Taxid	superkingdom	phylum	class	order	family	genus	species
Dacryonaema rufum OMC1653 v1.0	Dacruf1	2079950	Eukaryota	Basidiomycota	Dacrymycetes	Dacrymycetales	Dacrymycetaceae	Dacryonaema	Dacryonaema rufum
Crustoderma dryinum OMC1663 v1.0	Crudry1	1333630	Eukaryota	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Crustoderma	Crustoderma dryinum
Radulomyces confluens OMC1631 v1.0	Radcon1	264109	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Radulomycetaceae	Radulomyces	Radulomyces confluens
Porpomyces mucidus OMC1666 v1.0	Pormuc1	156595	Eukaryota	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Porpomyces	Porpomyces mucidus
Zalerion varium MPI-CAGE-AT-0135 v1.0	Zalva1	394676	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Tricladiaceae	Halenospora	Halenospora varia
Chaetomium sp. MPI-CAGE-AT-0009 v1.0	Chame1	1769349	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium sp.
Schizophyllum commune 223.1 v1.0	Schco2231_1	5334	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	Schizophyllum commune
Schizophyllum commune 227.2 v1.0	Schco2272_1	5334	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	Schizophyllum commune
Schizophyllum commune 227.1 v1.0	Schco2271_1	5334	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	Schizophyllum commune
Schizophyllum commune 225.1 v1.0	Schco2251_1	5334	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	Schizophyllum commune
Schizophyllum commune 207.1 v1.0	Schco2071_1	5334	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	Schizophyllum commune
Lyophyllum atratum CBS 144462 v1.0	Lyoat1	117065	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Lyophyllum	Lyophyllum atratum
Melampsora medusae f. sp. tremuloidae Mmt05Ida529 v1.0	Melme_tre1	82101	Eukaryota	Basidiomycota	Pucciniomycetes	Pucciniales	Melampsoraceae	Melampsora	Melampsora medusae
Mucor lusitanicus (circinelloides) MU402 v1.0	Muccir1_3	29924	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor lusitanicus
Rhamphospora nymphaeae CBS 172.38 v1.0	Rhanym2_1	62645	Eukaryota	Basidiomycota	Exobasidiomycetes	Doassansiales	Rhamphosporaceae	Rhamphospora	Rhamphospora nymphaeae
Trichoderma pleuroti TPhu1	Triple1	500994	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma pleuroti
Trichoderma arundinaceum IBT 40837	Triaru1	490622	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma arundinaceum
Cortinarius austrovenetus TL2843-KIS7R v1.0	Coraus1	742016	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius austrovenetus
Mytilinidiaceae sp. NC0267 v1.0	Lophiu1	1907213	Eukaryota	Ascomycota	Dothideomycetes	Mytilinidiales	Mytilinidiaceae	NA	Mytilinidiaceae sp. NC0267
Myriangiaceae sp. NC1570 v1.0	Myrian1	1907217	Eukaryota	Ascomycota	Dothideomycetes	Myriangiales	Myriangiaceae	NA	Myriangiaceae sp. NC1570
Issatchenkia orientalis ATCC PTA-6658 v2.0	Isori2	4909	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia kudriavzevii
Amylocorticium subincarnatum OMC1654 v1.0	Amysub1	264088	Eukaryota	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Amylocorticium	Amylocorticium subincarnatum
Issatchenkia orientalis ATCC 32196 v2.0	Issori2	4909	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia kudriavzevii
Geastrum triplex GST.BST v1.0	Geatri1	90948	Eukaryota	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	Geastrum triplex
