supergroup	division	subdivision	class	order	genomes	max.rDNA_copies	max.rDNA_variants	avg.distance	min.length	max.length	mean.length
Opisthokonta	Metazoa	Arthropoda	Insecta	Phasmatodea	2	9	8	0.0654348634133079	4850	10880	6230.5
Opisthokonta	Metazoa	Arthropoda	Insecta	Siphonaptera	1	94	42	0.0218476221112404	5159	11517	5658
Opisthokonta	Metazoa	Arthropoda	Insecta	Thysanoptera	2	3	3	0.0135494808966544	5703	6998	6343
Opisthokonta	Metazoa	Arthropoda	Insecta	Trichoptera	36	80	16	0.00691669081945066	4602	11502	6707.22222222222
Opisthokonta	Metazoa	Arthropoda	Arachnida	Araneae	33	538	29	0.0255968849838243	4656	13097	6141.06060606061
Opisthokonta	Metazoa	Arthropoda	Arachnida	Ixodida	4	122	75	0.00437901046089823	4811	12993	7611.75
Opisthokonta	Metazoa	Arthropoda	Arachnida	Mesostigmata	5	18	3	0.000405211047565154	5373	8761	5756.6
Opisthokonta	Metazoa	Arthropoda	Arachnida	Opiliones	1	15	9	0.0798174709486927	8399	12799	10910
Opisthokonta	Metazoa	Arthropoda	Arachnida	Pseudoscorpiones	1	1	1	0	5366	5366	5366
Opisthokonta	Metazoa	Arthropoda	Arachnida	Sarcoptiformes	18	32	5	0.0131964900647409	5890	6889	6441.33333333333
Opisthokonta	Metazoa	Arthropoda	Arachnida	Trombidiformes	1	2	1	0	6475	6475	6475
Opisthokonta	Metazoa	Arthropoda	Merostomata	Xiphosura	5	62	7	0.0122549450922632	5281	10682	8011.2
Opisthokonta	Metazoa	Arthropoda	Malacostraca	Amphipoda	1	1	1	0	5842	5842	5842
Opisthokonta	Metazoa	Arthropoda	Malacostraca	Decapoda	2	1	1	0	5183	5244	5213.5
Opisthokonta	Metazoa	Arthropoda	Hexanauplia	Cyclopoida	1	7	1	0	6042	6042	6042
Opisthokonta	Metazoa	Arthropoda	Hexanauplia	Harpacticoida	2	13	4	0.0277762255745335	5051	10502	8375.5
